,,Saturday 22nd,,,,,,,,Sunday 23rd,,,,,
,,Kick off 14:15 - Principality,,,,Kick off 16:45 - Twickenham,,,,Kick off 15:00 - Stadio Olimpico,,,,,
,,Wales (Home),Pts.,Ireland (Away),Pts.,England (Home),Pts.,Scotland (Away),Pts.,Italy (Home),Pts.,France (Away),Pts.,,
Forwards,,,,,,,,,,,,,,,Forwards
Prop,1,Nicky Smith,7.3,Andrew Porter,15.4,Ellis Genge,14.1,Pierre Schoeman,12.9,Danilo Fischetti,12.9,Jean-Baptiste Gros,10.8,1,Prop
Hooker,2,Elliot Dee,12.4,Dan Sheehan (C),18.2,Luke Cowan-Dickie,12.3,Dave Cherry,10,Gianmarco Lucchesi,13.2,Peato Mauvaka,15.2,2,Hooker
Prop,3,WillGriff John,7.8,Thomas Clarkson,7.2,Will Stuart,9.3,Zander Fagerson,14,Simone Ferrari,9.7,Uini Atonio,11.1,3,Prop
Second-row,4,Will Rowlands,10.8,Joe McCarthy,13.4,Maro Itoje (C),16.9,Jonny Gray,10.8,Niccolò Cannone,12.8,Thibaud Flament,11.5,4,Second-row
Second-row,5,Dafydd Jenkins,15.3,Tadhg Beirne,17.6,Ollie Chessum,13.1,Grant Gilchrist,11.4,Federico Ruzza,13.6,Mickaël Guillard,8.6,5,Second-row
Back-row,6,Jac Morgan (C),17,Peter O’Mahony,11.3,Tom Curry,15.8,Jamie Ritchie,12.4,Sebastian Negri,13.3,Francois Cros,16.1,6,Back-row
Back-row,7,Tommy Reffell,17.1,Josh van der Flier,15.8,Ben Earl,20.4,Rory Darge,15.5,Michele Lamaro (C),15.4,Paul Boudehent,12.8,7,Back-row
Back-row,8,Taulupe Faletau,12.9,Jack Conan,13.4,Tom Willis,11.3,Jack Dempsey,16.6,Lorenzo Cannone,16.3,Gregory Alldritt,19.1,8,Back-row
Backs,,,,,,,,,,,,,,,Backs
Scrum-half,9,Tomos Williams,14.1,Jamison Gibson-Park,16.6,Alex Mitchell,13.3,Ben White,14.3,Matin Page-Relo,9.8,Antoine Dupont,19.6,9,Scrum-half
Fly-half,10,Gareth Anscombe,12,Sam Prendergast,13.3,Fin Smith,10.7,Finn Russell,19.1,Paolo Garbisi,17.1,Thomas Ramos,19.6,10,Fly-half
Back Three,11,Ellis Mee,10.6,James Lowe,18.3,Ollie Sleightholme,13.6,Duhan van der Merwe,19.1,Simone Gesi,11.1,Louis Bielle-Biarrey,17.4,11,Back Three
Centre,12,Ben Thomas,12.8,Robbie Henshaw,14.3,Henry Slade,11.7,Tom Jordan,11.2,Tommaso Menoncello,15.2,Yoram Moefana,12.3,12,Centre
Centre,13,Max Llewellyn,11,Garry Ringrose,13.7,Ollie Lawrence,15.8,Huw Jones,17.7,Juan Ignacio Brex,13.6,Pierre-Louis Barassi,12.2,13,Centre
Back Three,14,Tom Rogers,10.8,Mack Hansen,13.8,Tommy Freeman,15.2,Kyle Rowe,9.7,Ange Capuozzo,15.4,Théo Attissogbe,12,14,Back Three
Back Three,15,Blair Murray,11.4,Jamie Osborne,8.7,Marcus Smith,17.3,Blair Kinghorn,17.7,Tommaso Allan,11.8,Leo Barre,11.5,15,Back Three
Subs,,,,,,,,,,,,,,,Subs
,16,Evan Lloyd (H),8.4,Gus McCarthy (H),8.7,Jamie George (H),14.6,Ewan Ashman (H),13.4,Giacomo Nicotera (H),13.4,Julien Marchand (H),13.7,16,
,17,Gareth Thomas (P),11.5,Jack Boyle (P),6.8,Fin Baxter (P),10,Rory Sutherland (P),9.3,Mirco Spagnolo (P),8,Cyril Baille (P),13.1,17,
,18,Henry Thomas (P),7.6,Finlay Bealham (P),11.6,Joe Heyes (P),8.1,Will Hurd (P),7.1,Giosuè Zilocchi (P),8.7,Dorian Aldegheri (P),8.7,18,
,19,Teddy Williams (SR),8.8,James Ryan (SR),13,Ted Hill (SR),6.8,Sam Skinner (SR),10,Riccardo Favretto (SR),7.8,Romain Taofifenua (SR),9.6,19,
,20,Aaron Wainwright (BR),16.7,Cian Prendergast (BR),7.8,Chandler Cunningham-South (BR),12.7,Gregor Brown (BR),7.7,Manuel Zuliani (BR),10.7,Oscar Jegou (BR),10.3,20,
,21,Rhodri Williams (SH),9,Conor Murray (SH),11.1,Ben Curry (BR),13,Matt Fagerson (BR),13.9,Ross Vintcent (BR),12.2,Alexandre Roumat (SR),11.4,21,
,22,Jarrod Evans (FH),11,Jack Crowley (FH),13.8,Harry Randall (SH),11.7,Jamie Dobie (SH),11,Alessandro Garbisi (SH),8,Anthony Jelonch (BR),11.5,22,
,23,Joe Roberts (C),9.6,Bundee Aki (C),15.3,Elliot Daly (BT),12.5,Stafford McDowall (C),8.7,Jacopo Trulla (BT),10.8,Maxime Lucu (SH),10.6,23,
Referee,,Christophe Ridley (ENG),,,,Pierre Brousset (FRA),,,,Karl Dickson (ENG),,,,,Referee
,,,,,,,,,,,,,,,
,,Coloured Letters- Position in Fantasy Game,,,,Bold Players - Out of position in fantasy game,,,,"Sub Positions - Alongside players name.
 (H) - Hooker
 (P) - Prop
 (SR) - Second Row
 (BR) - Back Row
 (SH) - Scrum-Half
 (FH) - Fly-Half
 (BT) - Back Three
 (C) - Centre",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Italics - Probable kickers,,,,,,,,,
